Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
What does the Blue Bus Icon (Resort Shuttle Bus Stops) icon represent on this map?,Resort Shuttle Bus Stops,,map legend,Resort Shuttle Bus Stops
"Where is the Waterville Valley Welcome Center located relative to the rest of the map (e.g., top, bottom, specific zone)?",Middle right (Eastern edge),,location,Middle right (Eastern edge)
Which major Recreation or areas are closest to the Waterville Valley Welcome Center?,White Mountain Athletic Club,North ( White Mountain Athletic Club) South ( Waterville Valley Resort Ski Area),attraction,North ( White Mountain Athletic Club) South ( Waterville Valley Resort Ski Area)
I am standing at the Waterville Valley Welcome Center. List the major zones or areas I can access directly from here?,"Jennings Peak Rd, Route 49, Forest Knoll, and Windsor Hill","Jennings Peak via Jennings Peak Rd, Waterville Valley Ski Area and White Mountain National Forest via Route 49, Forest Knoll, Windsor Hill.",region,"Jennings Peak via Jennings Peak Rd, Waterville Valley Ski Area and White Mountain National Forest via Route 49, Forest Knoll, Windsor Hill."
What accessibility amenities are offered according to the map legend?,Not indicated on the map,,accessibility feature,Not indicated on the map
Where can I find wheelchair/stroller-friendly services near Ice Arena?,Not indicated on the map,,accessibility feature,Not indicated on the map
Where are the family/inclusive restrooms on the map?,Not indicated on the map,,amenity,Not indicated on the map
Where can I get beverages near Waterville Valley Tubing Center?,Town Square,,dining location,Town Square
I am currently at Town Square. Where is the closest place I can get coffee?,La Tasse Café (in Town Square),,dining location,La Tasse Café (in Town Square)
Which Recreation are on the way from Waterville Valley Welcome Center to Snow's Mountain Chairlift?,"White Mountain Athletic Club, Corcoran Pond, Town Square, Golf Course, Tennis Center",,attraction,"White Mountain Athletic Club, Corcoran Pond, Town Square, Golf Course, Tennis Center"
In which map direction is Police Station with restpect to the rest of the map?,Located inside Town Square,Bottom right corner,location,Bottom right corner
Are there any Recreation within a short walk of Golden Eagle Lodge?,Yes (Corcoran Pond Beach/Boat Rentals),,attraction,Yes (Corcoran Pond Beach/Boat Rentals)
Which Recreation is located in the north of Waterville Valley Welcome Center?,White Mountain Athletic Club,,attraction,White Mountain Athletic Club
Where can I find Retail in the northwest of Windsor Hill?,Town Square,Not mentioned in map,retail,Not mentioned in map
Which Dining can I find from Golden Eagle Lodge towards Ice Arena?,Town Square,,dining location,Town Square
What location has Recreation from Osceloa Arbor towards White Mountain Athletic Club?,Packard Field,,attraction,Packard Field
Where can I borrow books in the resort?,Inside Town Square,At the Osceola Library by the Waterville Valley Academy,facility,At the Osceola Library by the Waterville Valley Academy
Is the Tennis Center open all year round?,East (towards Town Square),"No, only during Summer",map information,"No, only during Summer"
How close is the closest Retail from One Valley Place (short/moderate/long walk)?,Moderate/Long walk (to Town Square),,retail,Moderate/Long walk (to Town Square)
What is the closest Lodging east of Ice Arena?,Town Square Condominiums,"Multiple (Golden Eagle Lodge, The inns of waterville valley, Snow star inn)",attraction,"Multiple (Golden Eagle Lodge, The inns of waterville valley, Snow star inn)"
How many schools are there?,Coyote Grill,"two ( elementary school by the coyote grill, Waterville valley academy by the tennis center)",facility,"two ( elementary school by the coyote grill, Waterville valley academy by the tennis center)"
"I want to buy real estate here, where can I go?",Town Square,Roper Real Estate by the Village Condomoniums or Wateville Valley Reality in Town Square.,retail,Roper Real Estate by the Village Condomoniums or Wateville Valley Reality in Town Square.
Can I reach the snow's mountain chairlift via bus from the town center?,Town Square,yes. you can reach the waterville valley academy via bus and then a short walk towards the snow's mountain cahirlift.,path,yes. you can reach the waterville valley academy via bus and then a short walk towards the snow's mountain cahirlift.
Where can I find the Blue Bus Icon (Resort Shuttle Bus Stops) icon on the map?,Distributed along roads throughout the resort,,facility,Distributed along roads throughout the resort
What is the nearest Blue Bus Icon (Resort Shuttle Bus Stops) icon to Town Square?,At Town Square Condominiums,,facility,At Town Square Condominiums
How many Blue Bus Icon icons are in Town Square?,1,,facility,1
What does the Blue Bus Icon (Resort Shuttle Bus Stops) represent on this map?,Resort Shuttle Bus Stops,,map legend,Resort Shuttle Bus Stops
Where is the Waterville Valley Welcome Center located relative to the Recreation zone near the Tennis Center?,East,,location,East
Where is the cultural center located ?,Town Square or Coyote Grill,Top right ( North east) by the Elementary school,facility,Top right ( North east) by the Elementary school
What accessibility amenities are offered according to the map legend for Dining near the Golf Course?,Not indicated on the map,,accessibility feature,Not indicated on the map
Where are the family restrooms in the Service category near Golden Eagle Lodge on the map?,Not indicated on the map,,amenity,Not indicated on the map
Where can I get beverages near Town Square?,"Inside Town Square (e.g., La Tasse Café, Jugtown Country Store)",,dining location,"Inside Town Square (e.g., La Tasse Café, Jugtown Country Store)"
Where is livermore parking with respect to the map?,La Tasse Café (in Town Square),South west direction,location,South west direction
Which Recreation are on the way from Ice Arena to Tennis Center?,"Golf Course, Waterville Valley Tubing Center",,attraction,"Golf Course, Waterville Valley Tubing Center"
How many Dining are near Town Square?,Multiple (located inside Town Square),,dining location,Multiple (located inside Town Square)
Which Service is located in the southwest of Conference Center?,Silver Fox Inn (Lodging),,attraction,Silver Fox Inn (Lodging)
Where is the training area located with respect to the Town square?,Town Square,North west / short walk.,location,North west / short walk.
Where is the Post office located ?,Town Square,Inside the Town Square,facility,Inside the Town Square
where is the Fire Station Located?,None directly on the path,South East corner of the map on Tripoli Road,facility,South East corner of the map on Tripoli Road
"I am at Snow's Brook, which way should I go to reach Black Bear Lodge?",Town Square,Walk south along the Snow's Brook Road.,path,Walk south along the Snow's Brook Road.
Where can I find fintness center in the Resort?,Inside Town Square (Indoor Ice Arena) or Corcoran Pond,Inside the Town Square (Next Level Fitness Center),amenity,Inside the Town Square (Next Level Fitness Center)
What is the name of the lake that has a beach?,,Corcoran Pond ,attraction,Corcoran Pond 
What is the name of the training area west of the Ice arena?,,Nordic training area,attraction,Nordic training area
What are the activities that open only on summer?,,"Golf course, Tennis center, and Snow Mountain chairlift",map information,"Golf course, Tennis center, and Snow Mountain chairlift"
What is the name of the road that takes me to Waterville valley resort ski area?,,Tripoll Road,path,Tripoll Road
What is the name of the river south of the Mountain Meadow?,,Mad River,attraction,Mad River
"If I take West Branch Rd. south from the intersection with Boulder Path Rd. and then take the road heading west at the bottom, where will it take me?",,Livermore parking and Tripoli Rd.,path,Livermore parking and Tripoli Rd.
Is there a bus station close to Waterville valley tubing center? ,,Yes,facility,Yes
Whats the name of the restraunt that provide indian food?,,Kalki Indian Cuisine ,dining location,Kalki Indian Cuisine 
What is the name of the campground southeast of the map?,,white mountain national forest campground,attraction,white mountain national forest campground
What is the name of the road that leads to the Waterville Valley welcome Center?,,Route 49,path,Route 49
What are the names of the two inns located on either side of the conference center?,,Silver Fox inn and Snow star inn,attraction,Silver Fox inn and Snow star inn
"Going from the Valley inn to the Green peak through the Snow's Brook Rd., what is the name of the blue building on the way?",,Black Bear Lodge,attraction,Black Bear Lodge
