Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
What location has Dining from Disney's Beach Club Entrance towards Yachtsman Steakhouse?,"Cape May Cafe (K), Martha's Vineyard (J), Beaches & Cream (H)",,dining location,"Cape May Cafe (K), Martha's Vineyard (J), Beaches & Cream (H)"
What is the nearest Dining from Crew's Cup Lounge?,Yachtsman Steakhouse (G) or Captain's Grille (E),Crew's Cup Lounge is listed as Dining Area. Or else Yachtsman Steakhouse (G) or Captain's Grille (E),dining location,Crew's Cup Lounge is listed as Dining Area. Or else Yachtsman Steakhouse (G) or Captain's Grille (E)
Where can I find the closest bus stop near Yatch Club Resort?,Ale and Compass Lounge (D) or Captain's Grille (E),To the east of the Check-in Kiosk for the Yacht Club Resort,facility,To the east of the Check-in Kiosk for the Yacht Club Resort
What map direction should I head toward to reach the closest Dining from Disney's Beach Club Entrance?,South/Southwest,,direction,South/Southwest
How close is the closest Dining from Disney's Yacht Club Resort (short walk)?,Short walk,,dining location,Short walk
What is the closest Dining north of Crescent Lake?,Hurricane Hanna's Waterside Bar & Grill (I),,dining location,Hurricane Hanna's Waterside Bar & Grill (I)
Where is the closest Laundry service to  Disney's Yacht Club Resort?,None directly north; Ale and Compass Lounge (D) is to the northeast,South by the Tennis Court,amenity,South by the Tennis Court
What is the closest Dining from Disney's Beach Club Entrance towards Tennis Courts?,Cape May Cafe (K),,dining location,Cape May Cafe (K)
Where is the closest Dining from Disney's Yacht Club Resort towards Beach Club Villas?,Ale and Compass Lounge (D),,dining location,Ale and Compass Lounge (D)
What is the nearest Swimming place Icon to Tennis Courts?,The quiet pool located immediately east of the Tennis Courts,The quiet pool located immediately east of the Tennis Courts,attraction,The quiet pool located immediately east of the Tennis Courts
How many Swimming place icons are in Crescent Lake?,0,0,attraction,0
"Where is the main entrance located relative to the rest of the map (e.g., top, bottom, specific zone)?","There are two main entrances, located at the top left (Yacht Club) and top right (Beach Club)",,location,"There are two main entrances, located at the top left (Yacht Club) and top right (Beach Club)"
Which major Dining or areas are closest to Disney's Yacht Club Entrance?,"Check-In, Ale and Compass Lounge (D), Convention Center",,dining location,"Check-In, Ale and Compass Lounge (D), Convention Center"
"What accessibility amenities are offered according to the map legend for Guest Services near Stormalong Bay, such as the Elevator Icon (Elevators) located to the north?",Elevators,None,map legend,None
Where can I find wheelchair/stroller-friendly services near Disney's Beach Club Entrance?,Elevators are located near the Beach Club Check-In/Lobby,,accessibility feature,Elevators are located near the Beach Club Check-In/Lobby
Where are the family/inclusive restrooms on the map?,Restrooms are not marked on this map,,amenity,Restrooms are not marked on this map
I am currently at Stormalong Bay. Where is the closest place I can get coffee?,"Not explicitly marked, but nearby Dining like Beaches & Cream (H) likely serve coffee",,dining location,"Not explicitly marked, but nearby Dining like Beaches & Cream (H) likely serve coffee"
How many Laundry service icons are in the map?,"Ale and Compass Lounge, Captain's Grille, Crew's Cup Lounge, Yachtsman Steakhouse",four,amenity,four
How many Recreation are near Crescent Lake?,"3 (Bayside Marina, Campfire, Boat Launch)",two ( Bayside Marina (S) and Campfire(R)),attraction,two ( Bayside Marina (S) and Campfire(R))
In which map direction is Smoking Zone located relative to Stormalong Bay?,"North, East, and West",South east by the Hurricane Hanna's (I),direction,South east by the Hurricane Hanna's (I)
Where can I find Dining in the northeast of Beach Club Villas?,None (Off-map),,dining location,None (Off-map)
Where can I find smoking zone rom Disney's Yacht Club Resort towards Beach Club Villas?,"Ale and Compass, Captain's Grille, Crew's Cup, Yachtsman, Beaches & Cream, Martha's Vineyard, Cape May Cafe","Multiple along the way, eg: by the Captain's Grille (E), By the Cape May Cafe (K)",region,"Multiple along the way, eg: by the Captain's Grille (E), By the Cape May Cafe (K)"
What location has Recreation from Walkway to Epcot towards Beach Club Villas?,A quiet pool (marked by a swimmer icon) is near the Villas,"Quiet Pool by the South East of Beach Club Resort, Volleyball Court,Campfire (R) and Quiet pool marker by the villas",attraction,"Quiet Pool by the South East of Beach Club Resort, Volleyball Court,Campfire (R) and Quiet pool marker by the villas"
Where can I find the nearest Quiet Pool from Crescent Lake?,Hurricane Hanna's Waterside Bar & Grill (I),South East of Beach Club Resort,attraction,South East of Beach Club Resort
What map direction should I head toward to reach the closest Dining from Epcot?,North (or stay inside for Hurricane Hanna's),North,direction,North
Where is the closest Dining north of Disney's Beach Club Entrance?,None (Off-map),,dining location,None (Off-map)
What is the closest AED sign from Beach Club Villas towards Stormalong Bay?,Cape May Cafe (K),By the Elevator of the Beach Club Villas,amenity,By the Elevator of the Beach Club Villas
Where is the closest Dining from Disney's Yacht Club Resort towards Tennis Courts?,None located in that direction,,dining location,None located in that direction
Where can I find the Swimmer Icon (Pool: Quiet/Leisure Pools) icon on the map?,"Near the Tennis Courts, in the Beach Club Resort complex, and at the Beach Club Villas",,attraction,"Near the Tennis Courts, in the Beach Club Resort complex, and at the Beach Club Villas"
Is  WiFi available in Stormalong Bay?,0,Nothing mentioned in the map,amenity,Nothing mentioned in the map
"Where is Disney's Yacht Club Entrance located relative to the Dining area near Yachtsman Steakhouse, and is it shown with the Compass Rose symbol to the north of the map?","West/Northwest of Yachtsman Steakhouse; the Compass Rose is in the bottom right, not north",,map legend,"West/Northwest of Yachtsman Steakhouse; the Compass Rose is in the bottom right, not north"
"What accessibility amenities, such as the Elevator Icon (Elevators), are offered according to the map legend for the Guest Services area north of Disney's Yacht Club Resort?",Elevators,,map legend,Elevators
Where can I find wheelchair/stroller-friendly services near Yachtsman Steakhouse?,An Elevator is located just to the northwest of the steakhouse,,accessibility feature,An Elevator is located just to the northwest of the steakhouse
How long is the runnning trail shown in the map?,Restrooms are not marked on this map,0.8 mile,map information,0.8 mile
Where can I get AED services near Disney's Yacht Club Resort?,Ale and Compass Lounge (D) or Crew's Cup Lounge (F),"One by the Check in (A), One by the Tennis Court and one by the Bayside Marina(S)",amenity,"One by the Check in (A), One by the Tennis Court and one by the Bayside Marina(S)"
How many Recreation are near Beach Club Villas?,1 (Quiet Pool marked with a swimmer icon),,attraction,1 (Quiet Pool marked with a swimmer icon)
In which map direction is Recreation located relative to Stormalong Bay?,"North, Northeast, East, and Southwest",,direction,"North, Northeast, East, and Southwest"
Are there any Magical Express Bus Stop within a short walk of Disney's Yacht Club Resort?,"Yes (Ale and Compass Lounge, Captain's Grille, etc.)",Yes just by the Check in Kiosk (A),facility,Yes just by the Check in Kiosk (A)
Which Recreation is located in the southwest of Stormalong Bay?,Bayside Marina (S),Nothing,attraction,Nothing
Which Dining can I find from Disney's Beach Club Entrance towards Crescent Lake?,"Cape May Cafe (K), Martha's Vineyard (J)",,dining location,"Cape May Cafe (K), Martha's Vineyard (J)"
What location has Bustop from Crescent Lake towards Beach Club Villas?,"Cape May Cafe (K), Martha's Vineyard (J)","None, bus stops are located in the outside pheriphery",facility,"None, bus stops are located in the outside pheriphery"
What is the nearest AED station from Crescent Lake?,Hurricane Hanna's Waterside Bar & Grill (I),By the Hurricane Hanna's (I),amenity,By the Hurricane Hanna's (I)
What map direction should I head toward to reach the closest Dining from Crew's Cup Lounge?,East (to Yachtsman Steakhouse) or West (to Captain's Grille),,direction,East (to Yachtsman Steakhouse) or West (to Captain's Grille)
How close is the closest Recreation from Stormalong Bay (short/moderate/long walk)?,Short walk,,attraction,Short walk
What is the closest Recreation southeast of Disney's Beach Club Entrance?,Sandcastle Club (Q) or Volleyball Court,,attraction,Sandcastle Club (Q) or Volleyball Court
Where is the closest Guest Services southwest of Disney's Yacht Club Resort?,None (Guest Services are to the East/Northeast),,facility,None (Guest Services are to the East/Northeast)
What is the closest Elevator from Yachtsman Steakhouse towards Disney's Yacht Club Resort?,Crew's Cup Lounge (F),None,accessibility feature,None
Where is the closest Dining from Tennis Courts towards Disney's Yacht Club Resort?,Ale and Compass Lounge (D),None,dining location,None
Where can I find the Elevator Icon icon on the map?,"In the main resort buildings (near lobbies, check-in, and central hallways)",,accessibility feature,"In the main resort buildings (near lobbies, check-in, and central hallways)"
What does the broken red line represent in the map?,0,running trail,map legend,running trail
"Where is Disney's Yacht Club Entrance located relative to the Guest Services area on the map (e.g., top, bottom, specific zone)?",Adjacent to the west/left of the Yacht Club Check-In zone,,location,Adjacent to the west/left of the Yacht Club Check-In zone
Which major Recreation or areas are closest to the Beach ClubEntrance?,Bayside Marina (S) and Ship Shape Massage (O),Sandcastle Club (Q) and Volley ball court,attraction,Sandcastle Club (Q) and Volley ball court
What accessibility amenities are offered according to the map legend near Crescent Lake?,Automated External Defibrillators (AED),,map legend,Automated External Defibrillators (AED)
Where can I find wheelchair/stroller-friendly services near Stormalong Bay?,Elevators are located in the adjacent buildings just north of Stormalong Bay,,accessibility feature,Elevators are located in the adjacent buildings just north of Stormalong Bay
I am currently at Crescent Lake. Where is the closest place I can get coffee?,Hurricane Hanna's (I) or nearby at Beaches & Cream (H),,dining location,Hurricane Hanna's (I) or nearby at Beaches & Cream (H)
How many Dining are near Beach Club Villas?,0 (Closest are Cape May Cafe and Martha's Vineyard in the main building),,dining location,0 (Closest are Cape May Cafe and Martha's Vineyard in the main building)
Which Dining is located in the southeast of Boat Launch?,None (Only the walkway to Epcot is southeast),,dining location,None (Only the walkway to Epcot is southeast)
Is the bus service Disability friendly?,Volleyball Court or the quiet pool,Nothing mentioned in the map.,accessibility feature,Nothing mentioned in the map.
What location has Retail from Crescent Lake towards Stormalong Bay?,Hurricane Hanna's Waterside Bar & Grill (I),None,retail,None
What is the nearest Retail from Yachtsman Steakhouse?,Crew's Cup Lounge (F),"Fitiings & Fairings (L) , southwest direction",retail,"Fitiings & Fairings (L) , southwest direction"
What map direction should I head toward to reach the closest Retail from Beach Club Villas?,"Stay adjacent for the quiet pool, or head West for Stormalong Bay",South west,direction,South west
How close is the closest Dining from Disney's Yacht Club Resort Entrance (short/moderate/long walk)?,Short walk,Moderate Walk,dining location,Moderate Walk
Which direction is the closest Information Center from Stormalong Bay?,Yachtsman Steakhouse (G),North East,direction,North East
How many information centers are in the resort? ,Beaches & Cream Soda Shop (H),One by the Beach Club Resort Check in,facility,One by the Beach Club Resort Check in
How many Magical express busstops are there in the resort?,Ale and Compass Lounge (D),two,facility,two
Is there food available in the Convention Center?,Hurricane Hanna's Waterside Bar & Grill (I),No,dining location,No
Are there Laundry Services Available in the resort?,None are plotted on the map,Yes.,amenity,Yes.
Are there Service Animal Relief Areas?,"Wi-Fi availability (in guest rooms, lobbies, and feature pools)","Yes, located in the grassy areas adjacent to parking lots.",accessibility feature,"Yes, located in the grassy areas adjacent to parking lots."
Where are the parking lot located with restpect to the entrances?,Northwest/Top-left zone,North.,location,North.
How many entrances are there to the main resort area?,Beaches & Cream Soda Shop (H) (just north of Stormalong Bay),Two (Yacht Club Entrance and Beach Club Entrance),facility,Two (Yacht Club Entrance and Beach Club Entrance)
