Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
What accessibility amenities are offered according to the map legend?,"Accessible Parking, Wheelchair Accessible",,map legend,"Accessible Parking, Wheelchair Accessible"
Where can I find wheelchair/stroller-friendly services near Village Gazebo & Pond?,Adventure & Supply Co.,No services near Village Gazebo & Pond,accessibility feature,No services near Village Gazebo & Pond
Where are the family/inclusive restrooms (Service) near The Gondola on the map?,Balcony House,,amenity,Balcony House
Where can I get beverages near The Gondola?,Balcony House (11) or Zephyr Mountain Lodge (8),Coffee & Tea Market (11),dining location,Coffee & Tea Market (11)
I am currently at Village Gazebo & Pond. Where is the closest place I can get hot chocolate?,Starbucks (7) or Coffee & Tea Market (11),Starbucks (7),dining location,Starbucks (7)
Which Food & Beverage are on the way from The Gondola to Parking Garage?,1 through 9,4 through 8,dining location,4 through 8
What building is nearest to Founders Pointe?,Yes (Ski+Ride School),Fraser Crossing,facility,Fraser Crossing
What direction is the Kids Lesson Meeting Area from the center of the map?,The Lodge at Sunspot (17),East,direction,East
Where can I find Food & Beverage in the north of Arrow Lift?,The Lodge at Sunspot (17),,dining location,The Lodge at Sunspot (17)
Which parking lot is closest to Fraser Crossing?,1 through 9,Moffat Parking Lot,facility,Moffat Parking Lot
What is South of Stoney's Winter Park (2)?,"Zephyr Mountain Lodge, Adventure & Supply Co.",Parking Lot B,location,Parking Lot B
Where can I find the nearest Food & Beverage from Gondola Bus Circle?,Balcony House (10 & 11),,dining location,Balcony House (10 & 11)
Where is the Arrow Lift located on the map?,Stay at West Portal or head West,Top Right,location,Top Right
How close is the closest Shopping & Services from Parking Garage (short/moderate/long walk)?,Short walk,,retail,Short walk
Where is the Ski Patoral located on the map?,None,Top right corner,location,Top right corner
What shopping/service is closest to Real Estate at WPR?,Balcony House (10 & 11),The North Face (2),retail,The North Face (2)
Where is the reverse ATM located?,Adventure & Supply Co. area (1-6),Balcony House,amenity,Balcony House
Where can I find the Ski Boot Icon (Rentals) icon on the map?,"Adventure & Supply Co., West Portal, Vintage Hotel",,retail,"Adventure & Supply Co., West Portal, Vintage Hotel"
What street is the shuttle near Village Cariolet on?,Village Cabriolet base,Cabriolet Way,path,Cabriolet Way
How many Lock Icon icons are in West Portal?,1,,amenity,1
Which major Food & Beverage or areas are closest to the Parking Garage?,"Waffle Cabin (1), Stoney's (2), Vertical Tap (3), Goodys (4)",,dining location,"Waffle Cabin (1), Stoney's (2), Vertical Tap (3), Goodys (4)"
I am standing at the West Portal. List the major zones or areas I can access directly from here?,"Arrow Lift, Ski+Ride School, Balcony House, Moffat Lot","Ski+Ride School, Rentals",region,"Ski+Ride School, Rentals"
What shopping/service is closest to James & Parry's?,Balcony House,Adventure & Supply Co.,retail,Adventure & Supply Co.
Where are the family/inclusive restrooms on the map?,"Vintage Hotel, Parking Garage, Adventure & Supply Co., Balcony House, West Portal",,amenity,"Vintage Hotel, Parking Garage, Adventure & Supply Co., Balcony House, West Portal"
I am currently at West Portal. Where is the closest place I can get hot chocolate?,Moffat Market (14) or Coffee & Tea Market (11),,dining location,Moffat Market (14) or Coffee & Tea Market (11)
What building is Trail's End Mercantile in?,1 through 9,Zephyr Mountain Lodge - Riverside,facility,Zephyr Mountain Lodge - Riverside
How many Food & Beverage are near Fraser Crossing?,0 (Nearest are at Zephyr Mountain Lodge),,dining location,0 (Nearest are at Zephyr Mountain Lodge)
In which map direction is Food & Beverage located relative to The Gondola?,West and East,,direction,West and East
Where can I find Food & Beverage in the north of Founders Pointe?,Zephyr Mountain Lodge (8 & 9),,dining location,Zephyr Mountain Lodge (8 & 9)
Where is the Tubing Hill & Hill House located on the map?,10 & 11,Center left,location,Center left
What location has Food & Beverage from Moffat Parking Lot towards The Gondola?,West Portal and Balcony House,Balcony House,dining location,Balcony House
What is the nearest Infrastructure from Parking Garage?,Village Cabriolet,,facility,Village Cabriolet
Where are the train platform located on the map?,Zephyr Mountain Lodge,Right side,location,Right side
What map direction should I head toward to reach the closest Food & Beverage from Parking Garage?,East / Southeast,,direction,East / Southeast
How close is the closest Food & Beverage from Founders Pointe (short/moderate/long walk)?,Moderate walk,,dining location,Moderate walk
What do the green labels stand for?,The Lodge at Sunspot (17),Food & Beverage,map legend,Food & Beverage
What is the closest Food & Beverage from West Portal towards Gondola Bus Circle?,Balcony House,Pow Pow Donuts (12),dining location,Pow Pow Donuts (12)
Where can I find the Wheelchair/P Icon (Accessible Parking) icon on the map?,"Parking Garage, Vintage Hotel, C Lot, Founders Pointe, Moffat Parking Lot",,accessibility feature,"Parking Garage, Vintage Hotel, C Lot, Founders Pointe, Moffat Parking Lot"
What is the nearest Lock Icon (Lockers) icon to The Gondola?,Balcony House,,amenity,Balcony House
How many Bus Icon (Bus) icons are in Fraser Crossing?,1 (on the adjacent road),0,facility,0
What does the Heart with Flash (Red) (AED - Automated External Defibrillator) icon represent on this map?,AED,,map legend,AED
What do the blue labels stand for?,Zephyr Mountain Lodge,Shopping & Services,map legend,Shopping & Services
I am currently at West Portal. Where is the closest place I can get coffee?,Moffat Market (14) or Coffee & Tea Market (11),,dining location,Moffat Market (14) or Coffee & Tea Market (11)
Which Food & Beverage are on the way from The Gondola to West Portal?,10 & 11,,dining location,10 & 11
How many Entertainment are near Village Gazebo & Pond?,1 (Village Stage),,attraction,1 (Village Stage)
Are there any Food & Beverage within a short walk of West Portal?,Yes (inside West Portal),,dining location,Yes (inside West Portal)
Which Food & Beverage is located in the northwest of Village Gazebo & Pond?,1 through 6,,dining location,1 through 6
Which Food & Beverage can I find from Arrow Lift towards West Portal?,12 through 16,,dining location,12 through 16
"If I am at WPR Rentals - Village, which direction is the closest restroom?",Balcony House,North,direction,North
"What do the orange dimond sign with ""!"" stand for?",Starbucks (7),Hazard: Vehicle,map legend,Hazard: Vehicle
What map direction should I head toward to reach the closest Food & Beverage from Village Stage?,West,,direction,West
How many AED does this resort have?,The Lodge at Sunspot (17),10,amenity,10
Where is the closest Food & Beverage north of Arrow Lift?,The Lodge at Sunspot (17),,dining location,The Lodge at Sunspot (17)
Where is security located at?,Balcony House (10 & 11),Gondola Bus Circle,location,Gondola Bus Circle
Where is the closest Food & Beverage from Parking Garage towards Village Gazebo & Pond?,Adventure & Supply Co. area (1-6),,dining location,Adventure & Supply Co. area (1-6)
What is the nearest Ski Boot Icon (Rentals) icon to West Portal?,Inside West Portal,,retail,Inside West Portal
How many Bus Icon icons are in The Gondola?,0,,facility,0
What does the Lock Icon (Lockers) icon represent on this map?,Lockers,,map legend,Lockers
Which major Shopping & Services or areas are closest to the Parking Garage?,Adventure & Supply Co. (1-6),,retail,Adventure & Supply Co. (1-6)
I am standing at the Parking Garage. List the major zones or areas I can access directly from here?,"Village Cabriolet, Adventure & Supply Co.",,region,"Village Cabriolet, Adventure & Supply Co."
"What accessibility amenities are offered according to the map legend, represented by the Wheelchair Icon, for the Service category near the West Portal, located north of the Parking Garage?",Wheelchair Accessible,,map legend,Wheelchair Accessible
How many Entertainment are near Founders Pointe?,0,,attraction,0
What do the red labels on the map stand for?,"Inside it, and West",Ski + Ride School Services,map legend,Ski + Ride School Services
Are there any Food & Beverage within a short walk of The Gondola?,Yes,,dining location,Yes
What location has Food & Beverage from West Portal towards The Gondola?,Balcony House,,dining location,Balcony House
What is the nearest Lodging from West Portal?,Zephyr Mountain Lodge,,facility,Zephyr Mountain Lodge
How close is the closest Food & Beverage from Village Gazebo & Pond (short/moderate/long walk)?,Short walk,,dining location,Short walk
What is the closest Food & Beverage southwest of The Gondola?,Starbucks (7) / Sundog Taproom (8),,dining location,Starbucks (7) / Sundog Taproom (8)
Where is the closest Lodging southeast of West Portal?,None,,facility,None
Where is the closest Food & Beverage from Fraser Crossing towards West Portal?,Zephyr Mountain Lodge (8 & 9),New Restaurant for 2025-26,dining location,New Restaurant for 2025-26
Where can I find the Wheelchair Icon (Wheelchair Accessible) icon on the map?,"Vintage Hotel, Adventure & Supply Co., Parking Garage, Balcony House, West Portal, Clinic",,accessibility feature,"Vintage Hotel, Adventure & Supply Co., Parking Garage, Balcony House, West Portal, Clinic"
What is the nearest Heart with Flash (Red) (AED - Automated External Defibrillator) icon to The Gondola?,Balcony House,,amenity,Balcony House
How many Wheelchair Icon (Wheelchair Accessible) icons are in Village Gazebo & Pond?,0,,accessibility feature,0
What does the Wheelchair/P Icon icon represent on this map?,Accessible Parking,,map legend,Accessible Parking
Where is the West Portal located relative to the rest of the Winter Park Resort village map?,East side (Right side),,location,East side (Right side)
"If I am at the winter park shop, what is adjacent?",Inside West Portal (12-16) and Balcony House,Goodys Creperie and Pizza Pedal'r,location,Goodys Creperie and Pizza Pedal'r
I am currently at The Gondola. Where is the closest place I can get hot chocolate?,Coffee & Tea Market (11),,dining location,Coffee & Tea Market (11)
How many Lodging are near Village Gazebo & Pond?,1 (Zephyr Mountain Lodge),,facility,1 (Zephyr Mountain Lodge)
