Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
Where can I find Parking near Restaurant Event Rental?,ADA parking spots nearby,nearest one is in front of the Hotel ,facility,nearest one is in front of the Hotel 
"If I have an RV 35FT, where can I stay in the Resort?",Pool Clubhouse Grab & Go (D5) or Pool Snack Bar (D4),"RV lot 5, lot 7, lot 16, lot 17, lot 27, lot 28, lot 20, lot 22, lot 24,  ",map information,"RV lot 5, lot 7, lot 16, lot 17, lot 27, lot 28, lot 20, lot 22, lot 24,  "
Which Activity are on the way from Entrance Check-In to Natural Hot Spring Source?,Pickleball,"Ping Pong Tables, Bocci Ball Courts, Pickleball, basketball court",attraction,"Ping Pong Tables, Bocci Ball Courts, Pickleball, basketball court"
Where can I find Horseshoe Icon from Ice Room?,None,Northeast of Ice Room behind RV Clubhouse,attraction,Northeast of Ice Room behind RV Clubhouse
Which Food & Beverage can I find from Entrance Check-In towards Pool Clubhouse?,None (they are at/past the clubhouse),,dining location,None (they are at/past the clubhouse)
In which map direction is Hot Springs Heated Lazy River located relative to Food Cart?,Pool Clubhouse Grab & Go (D5),Northwest,direction,Northwest
Where can I find the nearest ADA Teepee from Pool Equipment Room Guided Tours?,Zone E (immediately South),Tepee #19 near volleyball courts,accessibility feature,Tepee #19 near volleyball courts
How close is the closest Cornhole from Kids Hot Springs Heated Hot Tub (short/moderate/long walk)?,Short walk,long walk,attraction,long walk
Where can I find RV Dump & Water Fill Station on the map?,None,Left-center of the map at RV Clubhouse,facility,Left-center of the map at RV Clubhouse
Where is the closest Food & Beverage northwest of Resort Entrance?,None,,dining location,None
Where is the closest Food & Beverage from Resort Entrance towards Guest Service Office?,None,Pool Clubhouse with Wanapine Grab & Go (D5),dining location,Pool Clubhouse with Wanapine Grab & Go (D5)
In which map direction is Hot Springs Heated Pool located relative to Hotel Courtyard Barbecue Area?,Day Parking area,Northwest,direction,Northwest
Where is the closest Steam & Sauna from Overflow Parking towards Hotel Lounge Chairs?,Pickleball,at Wellness SPA & Athletic Center Area (E5),amenity,at Wellness SPA & Athletic Center Area (E5)
Which major Activity or areas are closest to the Entrance?,Tube & Kayak Float Put-In,,attraction,Tube & Kayak Float Put-In
I am standing at the Day Guest Entrance. List the major zones or areas I can access directly from here?,"Day Parking, Tube Put-In, Bridge to Guest Services",,region,"Day Parking, Tube Put-In, Bridge to Guest Services"
Where can I find the nearest Ice & Self Service Laundry Room from Kids Hot Springs Heated Pool & Spray Park?,Pool Clubhouse Grab & Go (D5),"east, in Teepee Clubhouse (H1)",amenity,"east, in Teepee Clubhouse (H1)"
"How many Poolside Kids Cabanas, 2-Person are on the map?",Zone D (Moderate walk west),5 (85–89),amenity,5 (85–89)
In which map direction is Tribal Horse Stalls & Horseback Tours located relative to Tribal Salmon Bake & Ceremony?,None,Northeast,direction,Northeast
In which map direction is Wellness Spa & Athletic Center located relative to Resort Entrance?,South,,direction,South
What location has Food & Beverage from Day Parking towards Forever Club Pavers?,None,Pool Clubhouse with Wanapine Grab & Go (D5),dining location,Pool Clubhouse with Wanapine Grab & Go (D5)
What is the nearest Wellness Spa & Athletic Center from Entrance Check-In?,Zone E,"Zone E(Massage Center (1), Personal Private Mineral Wellness Hot Tubs Mud or Salt Cleanse (2), Personal Pedicure with Mineral Wellness Foot Cleanse(3), Treadmills & Elliptical Machines (4), Steam & Sauna (5))",amenity,"Zone E(Massage Center (1), Personal Private Mineral Wellness Hot Tubs Mud or Salt Cleanse (2), Personal Pedicure with Mineral Wellness Foot Cleanse(3), Treadmills & Elliptical Machines (4), Steam & Sauna (5))"
Where is the closest Wellness Spa & Athletic Center from Guest Service Office towards Resort Entrance?,None,,amenity,None
What is the nearest Racket Icon (Pickleball) icon to Pool Clubhouse?,West side (near Natural Hot Spring Source),,attraction,West side (near Natural Hot Spring Source)
I am standing at the Entrance Check-In. List the major zones or areas I can access directly from here?,"Parking areas, Tube Put-In","Parking areas, Tube Put-In, Pool Clubhouse",region,"Parking areas, Tube Put-In, Pool Clubhouse"
I am currently at Pool Clubhouse. Where is the closest place I can get coffee?,Grab & Go Store (D5) or Chinook Restaurant (D1),Pool Clubhouse with Wanapine Grab & Go (D5),dining location,Pool Clubhouse with Wanapine Grab & Go (D5)
Which Food & Beverage are on the way from Resort Entrance to RV Clubhouse?,Zone D,"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3),Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))",dining location,"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3),Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))"
In which map direction is Personal Private Mineral Wellness Hot Tubs Mud or Salt Cleanse located relative to Tribal Courtyard?,South/Southeast,Northwest,direction,Northwest
Are there any Food & Beverage within a short walk of Guest Service Office?,Yes (Zone D),"Yes, Pool Clubhouse with Wanapine Grab & Go (D5)",dining location,"Yes, Pool Clubhouse with Wanapine Grab & Go (D5)"
Which Food & Beverage is located in the northwest of Pool Clubhouse?,None,,dining location,None
Where can I find Food & Beverage in the southwest of Pool Clubhouse?,Food Cart (D6),None,dining location,None
Which Food & Beverage can I find from RV Clubhouse towards Pool Clubhouse?,None directly on the path until Zone D,"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3),Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))",dining location,"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3),Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))"
What location has Food & Beverage from Shuttle Drop-off & Pick-Up Area towards RV Clubhouse?,Zone D (after crossing the river),"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3),Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))",dining location,"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3),Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))"
What is the nearest Wellness Spa & Athletic Center from RV Clubhouse?,Zone E,"Zone E(Massage Center (1), Personal Private Mineral Wellness Hot Tubs Mud or Salt Cleanse (2), Personal Pedicure with Mineral Wellness Foot Cleanse(3), Treadmills & Elliptical Machines (4), Steam & Sauna (5))",amenity,"Zone E(Massage Center (1), Personal Private Mineral Wellness Hot Tubs Mud or Salt Cleanse (2), Personal Pedicure with Mineral Wellness Foot Cleanse(3), Treadmills & Elliptical Machines (4), Steam & Sauna (5))"
Where is the closest Food & Beverage southwest of RV Clubhouse?,Zone D,"None, Food & Beverage area is in the west of RV Clubhouse",dining location,"None, Food & Beverage area is in the west of RV Clubhouse"
What location has Food & Beverage from Tribal Fishing Guided Tours Meeting Area towards RV Recreation Room with Ping Pong Tables?,Near Hotel Parking / ADA Parking,"Zone D (Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3))",dining location,"Zone D (Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3))"
What does the Bicycle Icon represent on this map?,Biking Trails,,map legend,Biking Trails
Where do Barbeque Cabanas and Tribal Story Telling Fire Pit are located on the map?,Zone E,Zone H in the map center,amenity,Zone H in the map center
"who can access Tribal Clubhouse, and Tribal Picnic Area?",None,Only Natives with Reservations,map information,Only Natives with Reservations
What is the nearest Food & Beverage from Pool Clubhouse?,Grab & Go Store (D5) / Zone D,Pool Clubhouse with Wanapine Grab & Go (D5),dining location,Pool Clubhouse with Wanapine Grab & Go (D5)
What map direction should I head toward to reach the closest Food & Beverage from the Resort Entrance?,South,,direction,South
"How many Riverfront Private Wellness Hot Springs Soaking Tub Cabanas, 6-Person are on the map?",None,18(1-18),amenity,18(1-18)
"How many Poolside VIP Cabana, 8-Person are on the map?",Food Cart (D6),14 (19-32),amenity,14 (19-32)
"How many Poolside Party Cabana, 16-Person are on the map?","Day Parking, Hotel Parking, RV Parking",1 (33),amenity,1 (33)
What is the nearest Man/Woman Icon (Restrooms) icon to Day Guest Entrance?,Across the bridge near Guest Service Office,Across the bridge at Pool Clubhouse,amenity,Across the bridge at Pool Clubhouse
Where can I find wheelchair/stroller-friendly services near Resort Entrance?,ADA Parking at Day Parking Area,,accessibility feature,ADA Parking at Day Parking Area
"How many Poolside Adult Cabanas, 2-Person are on the map?",Grab & Go Store (D5) or Chinook Restaurant (D1),51 (34-84),amenity,51 (34-84)
Are there any Food & Beverage within a short walk of Resort Entrance?,No (requires moderate walk across the bridge),,dining location,No (requires moderate walk across the bridge)
Where can I find Wellness Spa & Athletic Center in the northwest of Pool Clubhouse?,None,,amenity,None
Which Activity can I find from Resort Entrance towards RV Clubhouse?,Tube & Kayak Float,"Tube & Kayak Float, Hot tubs, pool, Kids disc golf, workout equipment",attraction,"Tube & Kayak Float, Hot tubs, pool, Kids disc golf, workout equipment"
What is the nearest Food & Beverage from Shuttle Drop-off & Pick-Up Area?,Zone D (across the bridge),Pool Clubhouse with Wanapine Grab & Go (D5),dining location,Pool Clubhouse with Wanapine Grab & Go (D5)
