Generated Questions,Generated Answers,True Answers,,map_element_category,Reference Answer
Where can I get beverages near Merchandise Shop?,Riverside Mill Food Court,"Riverside Mill Food Court, Boatwright's Dining Hall, Riverside Mill",,dining location,"Riverside Mill Food Court, Boatwright's Dining Hall, Riverside Mill"
How many Designated Smoking Location are in Magnolia Bend Buildings?,Riverside Mill Food Court,5,,amenity,5
Which Retail are on the way from North Depot to South Quarter Games Arcade?,Fulton's General Store,,,retail,Fulton's General Store
How many Pool are near West Depot?,1 (Between buildings 24 and 25),,,amenity,1 (Between buildings 24 and 25)
In which map direction is Pool located relative to French Quarter Square?,East / Northeast,Northeast,,direction,Northeast
How many Pool are in  Alligator Bayou Buildings?,"Yes, multiple quiet pools border the circle",3,,amenity,3
Which Dining is located in the north of Riverside Levee?,"Riverside Mill Food Court, Boatwright's Dining Hall",Muddy Rivers Pool Bar,,dining location,Muddy Rivers Pool Bar
Where can I find Dining in the north of French Quarter Square?,Sassagoula Floatworks & Food Factory,"Sassagoula Floatworks & Food Factory, Scat Cat's Club",,dining location,"Sassagoula Floatworks & Food Factory, Scat Cat's Club"
Which Retail can I find from West Depot towards Magnolia Terrace?,Fulton's General Store,,,retail,Fulton's General Store
What is the nearest Pool from Doubloon Lagoon?,Quiet pool near Oak Manor (Building 90),"at Doubloon Lagoon itself, the other nearest one at Quiet pool near Oak Manor (Building 90)",,amenity,"at Doubloon Lagoon itself, the other nearest one at Quiet pool near Oak Manor (Building 90)"
What map direction should I head toward to reach the closest Pool from Sassagoula Floatworks & Food Factory Food Court?,Inward (towards center) or outward depending on exact location,east(Doubloon Lagoon),,direction,east(Doubloon Lagoon)
What is the closest Pool north of West Depot?,None (the river bounds the north edge),"None, it is the end of the map",,amenity,"None, it is the end of the map"
Where is the closest Dining east of French Quarter Landing?,Sassagoula Floatworks & Food Factory,Mardi Grogs Pool Bar,,dining location,Mardi Grogs Pool Bar
What is the closest pool from Doubloon Lagoon towards West Depot?,Quiet pool near Oak Manor (Bldg 90) or Ol' Man Island,"Doubloon Lagoon, Ol' Man Island Or Quiet pool near Oak Manor (Bldg 90), Quiet pool near Magnolia Terrace (Bldg 85), Quiet pool near Bldg 36/35 Or Quiet pool near Bldg 17/16, Quiet pool near Bldg 24/25",,amenity,"Doubloon Lagoon, Ol' Man Island Or Quiet pool near Oak Manor (Bldg 90), Quiet pool near Magnolia Terrace (Bldg 85), Quiet pool near Bldg 36/35 Or Quiet pool near Bldg 17/16, Quiet pool near Bldg 24/25"
Where is the closest Pool from French Quarter Landing towards North Depot?,Doubloon Lagoon,,,amenity,Doubloon Lagoon
Where can I ride Taxi/Limousine afrom the Resort?,"Legend, Doubloon Lagoon, Ol' Man Island, and 5 quiet pools","Sassagoula Steamboat Co., French Quarter Square",,facility,"Sassagoula Steamboat Co., French Quarter Square"
What is the nearest Man/Woman Figures (Restrooms) icon to French Quarter Landing?,Near Doubloon Lagoon and French Quarter Square,,,amenity,Near Doubloon Lagoon and French Quarter Square
What is the closest pool from Muddy Rivers Pool Bar towards Scat Cat’s Club Lounge?,0,Ol' Man Island,,amenity,Ol' Man Island
What is the closest Laundry to Rivera Delta Platform?,Pool,One near Building 27 at Alligator Bayou,,amenity,One near Building 27 at Alligator Bayou
Which major Retail or areas are closest to the Entrance?,Fulton's General Store (Riverside) / Jackson Square Gifts (FQ),Entrance isn't specified on the map,,retail,Entrance isn't specified on the map
Where can I find wheelchair/stroller-friendly services near East Depot?,Not indicated on the map,,,accessibility feature,Not indicated on the map
Where can I find Boat Transportation on the map?,"Sassagoula Floatworks & Food Factory, Scat Cat's Club","Sassagoula Steamboat Co., French Quarter Square",,facility,"Sassagoula Steamboat Co., French Quarter Square"
Which Dining are on the way from Riverside Levee to Magnolia Terrace?,Muddy Rivers Pool Bar,"Muddy Rivers Pool Bar, Riverside Mill Food Court, Boatwright's Dining Hall, Riverside Mill",,dining location,"Muddy Rivers Pool Bar, Riverside Mill Food Court, Boatwright's Dining Hall, Riverside Mill"
How many Retail are near French Quarter Landing?,1 (Jackson Square Gifts & Desires),,,retail,1 (Jackson Square Gifts & Desires)
How many Smoking areas are on the Sassagoula River?,Northeast,9,No south depot on the map,amenity,9
Are there any Dining within a short walk of South Quarter Games Arcade?,Yes (Sassagoula Floatworks & Food Factory),"Yes, Sassagoula Floatworks & Food Factory, Scat Cat's Club",,dining location,"Yes, Sassagoula Floatworks & Food Factory, Scat Cat's Club"
Which Pool is located in the northeast of Magnolia Terrace?,Quiet pool near Acadian House (Building 80),None,,amenity,None
Where can I find Dining in the southwest of French Quarter Square?,None (Parking / Entrance area),,,dining location,None (Parking / Entrance area)
List the places that we can pass by if we drive on Orleans drive?,"Doubloon Lagoon, Ol' Man Island, Magnolia Bend quiet pools","it pass by all the parking lots in French Quarter, and ends at Sassagoula circle",No south depot on the map,attraction,"it pass by all the parking lots in French Quarter, and ends at Sassagoula circle"
Where I can find the Information Center on the map?,Sassagoula Floatworks & Food Factory,"Sassagoula Steamboat Co., and French Quarter Square",No south depot on the map,facility,"Sassagoula Steamboat Co., and French Quarter Square"
Where can I find the nearest Pool from East Depot?,Quiet pool near Acadian House (Building 80),,,amenity,Quiet pool near Acadian House (Building 80)
What map direction should I head toward to reach the closest Dining from West Depot?,East / Southeast,Southeast,,direction,Southeast
How close is the closest Pool from French Quarter Landing (short/moderate/long walk)?,Short walk,,,amenity,Short walk
What is the closest Dining north of Magnolia Terrace?,"Riverside Mill Food Court, Boatwright's Dining Hall",None,it didn't take into considereation the extra info given about the direction,dining location,None
Where is the closest Pool north of Jackson Square Gifts & Desires?,Doubloon Lagoon,Ol' Man Island,it didn't take into considereation the extra info given about the direction,amenity,Ol' Man Island
What is the closest Dining from West Depot towards East Depot?,Riverside Mill Food Court,Muddy Rivers Pool Bar,,dining location,Muddy Rivers Pool Bar
Where is the closest Dining from Parterre Place (Bldg 95) towards South Quarter Games Arcade?,Sassagoula Floatworks & Food Factory,"Sassagoula Floatworks & Food Factory, Scat Cat's Club",,dining location,"Sassagoula Floatworks & Food Factory, Scat Cat's Club"
Where can I find the Man/Woman Figures (Restrooms) icon on the map?,"Near pools, lobbies, arcades, and depots","Near Pools: near Doobloon Lagoon, Quiet pool  near bldg 90, Quiet pool  near bldg 85, Quiet pool  near bldg 36/35, Quiet pool  near bldg 24/25, Quiet pool  near bldg 16/17, at Ol' Man Island ",,amenity,"Near Pools: near Doobloon Lagoon, Quiet pool  near bldg 90, Quiet pool  near bldg 85, Quiet pool  near bldg 36/35, Quiet pool  near bldg 24/25, Quiet pool  near bldg 16/17, at Ol' Man Island "
What is the nearest Man/Woman Figures (Restrooms) icon to Jackson Square Gifts & Desires?,In French Quarter Square / near Doubloon Lagoon,near Doubloon Lagoon,,amenity,near Doubloon Lagoon
How many Swimmer Icon (Pool) icons are in Doubloon Lagoon?,1,,,amenity,1
What does the Man/Woman Figures icon represent on this map?,Restrooms,,,map legend,Restrooms
"Where is the entrance located relative to the rest of the map (e.g., top, bottom, specific zone)?",Middle-Left (Riverside) and Bottom-Left (French Quarter),"Middle-Left (Riverside),  Middle-Left (French Quarter) and Bottom-Left (French Quarter)",,location,"Middle-Left (Riverside),  Middle-Left (French Quarter) and Bottom-Left (French Quarter)"
What are the pool that are near the Carriage path?,None indicated,"Quiet Pool at Building 80/85, Quiet Pool at Building 90/95, Doubloon Lagoon",,amenity,"Quiet Pool at Building 80/85, Quiet Pool at Building 90/95, Doubloon Lagoon"
Where are the Service restrooms (Man/Woman Figures) north of North Depot on the map?,None are north of North Depot,,,amenity,None are north of North Depot
Where is the closest Laundry from Blues & Jazz Stations towards Marina?,Sassagoula Floatworks & Food Factory,"None, the Only near one to this path is near Doubloon Lagoon",No south depot on the map,amenity,"None, the Only near one to this path is near Doubloon Lagoon"
I am currently at East Depot. Where is the closest place I can get coffee?,Riverside Mill Food Court,Muddy Rivers Pool Bar,,dining location,Muddy Rivers Pool Bar
Which AED are on the way from Fishin’ Hole to North Quarter?,"South Quarter Games Arcade, Doubloon Lagoon","One at Ol'Man island, One at Sassagoula Steamboat Co., and at buildings 4,5,6,7 at North quarter",No south depot on the map,amenity,"One at Ol'Man island, One at Sassagoula Steamboat Co., and at buildings 4,5,6,7 at North quarter"
How many Retail are near Jackson Square Gifts & Desires?,1 (It is the retail location itself),,,retail,1 (It is the retail location itself)
Where is the closest Bus from Fulton’s General Store Merchandise Shop towards Bike and Boat Rental?,North / Northeast,"None, the closest  bus is the one at Blue Bayou Platform",No south depot on the map,facility,"None, the closest  bus is the one at Blue Bayou Platform"
Are there any Retail within a short walk of Magnolia Terrace?,Fulton's General Store (moderate walk),,,retail,Fulton's General Store (moderate walk)
Which Pool is located in the southwest of Ol' Man Island?,Quiet pool near Buildings 17 & 18,None is at southwest of Ol' Man Island ,,amenity,None is at southwest of Ol' Man Island 
What is the length of the Carriage path?,,0.7 mile,,map information,0.7 mile
How many Disney's Magical bus express bus stops are there on the map?,,Two,,facility,Two
Where can I get boat rental and transportation?,,At the Riverside Levee,,facility,At the Riverside Levee
Are there any swimming pool in the Parterre Palace?,,No ,,amenity,No 
How many pool's are there in the French Quarter?,,One ,,amenity,One 
